TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
New Route,,Bengaluru,BANASHANKARI TTMC (towards \N),Hosakerehalli Cross (towards KATHRIGUPPE),,"THERE IS NO VAYU VAJRA BUS SERVIVE VIA KAMAKHYA, PES ENGG COLLEGE, RAJKUMAR MEMORIAL, GORGUNTEPALYA TO AIR PORT",???? ?????? ??????? ??????????? ????? ???????? ???????????? ????? ??????????? ???????? ?????????? ????? ?????????????. ???????? ???????? ??????? ???????????? ???????-5 ????? ???????????? ????????????? ??????-10 ?????????? ????????? ????????????? ??????????? ?????????????????.,26-Jan-16
New Route,,Bengaluru,Nayandahalli (towards TOWARDS SHIRKE),Nagadevanahalli RR Temple (towards KENGERI),,"Since metro is operational, we need more feeder buses towards Vishweshwaraiah Layout via Nagarbhavi and Nagadevanahalli. This will help many people as there is no direct bus as of now.",,20-May-16
New Route,,Bengaluru,Kundalahalli Gate (towards TOWARDS MARATHAHALLI),Baiyappanahalli Satellite Bus Station (towards Last Stop),,Please run frequent service between Kundlahalli gate to Baiyappanahalli Metro station via Marathahalli Bridge. 5AM to 11 PM (same as Metro timings),,20-May-16
Increase Frequency,12E,Bengaluru,,,,need more and more buses of route number 12 from corporation to go to banashnakari ttmc which will save a lot of time for the college and school students of St josephs indian going towards banashankari. Please do it ASAP!! It will be very helpful for students and save a lot of their time..,,20-May-16
New Route,,Bengaluru,Kundalahalli Gate (towards TOWARDS MARATHAHALLI),Jayanagara 5th Block (towards BANASHANKARI),,There is no direct buses between Jayanagar 4th block and Marathahalli/Whitefield,,20-May-16
Increase Frequency,360C,Bengaluru,,,,"Please increase the regular bus number in weekend and holidays from majestic attibele route instead of increasing a/C bus. I was waiting for 20 to 30 minutes in majestic except a/C bus no regular bus. This is my amble request you increase bus and I have been observed people moving ola cabs and taxi with 6 to 8 people because no regular buses in majestic, particularly in weekend people move to their home town and they all come back on Sunday evening due this reason there is need more buses.",,26-Jan-16
New Route,,Bengaluru,Sanjay Nagara (towards BHOOPASANDRA),Malleshwaram 15th Cross (towards YESHAWANTHAPURA),,Kindly introduce a bus to this route or else let K2 ply through malleshwaram circle to reach BApujinagar destination,????????????????,26-Jan-16
New Route,,Bengaluru,Gunjoor (towards VARTURU),Varthuru Kodi (towards TOWARDS MARATHAHALLI),,"Dear Sir/Madam,

I reside in Varthur area. We need Vayu Vajra bus service from Gunjur to Varthur Kodi. This will really help office goer people and students. And also reduce traffic Jam at Varthur Bridge junction which has become horrible with every passing day .Request you to kindly look into this request.

An Honest Citizen,
Sandeep","????? 5 ????????? ??????? ?????? ????????????, ????? ?????? ?????????????.",27-Jan-16
Increase Frequency,500,Bengaluru,,,,"Dear sir,

 There are many people who would like to take the Volvo 500 CA bus to itpl from uttarahalli. A trip to itpl from uttarahalli around 10:30 am would be ideal.

There is a bus 500 CA plying from chikkalasandra, which can also be extended from uttarahalli circle.

Thanks,
Mohan",,27-Jan-16
Increase Frequency,333Q,Bengaluru,,,,"There are no direct services from Majestic to Prestige tech park, Kadabisanahalli. Put more buses in this route",,28-Jan-16
New Route,,Bengaluru,Devanagundi (towards HOPE FARM),Nerige (towards MUGALURU),,need buses this route,??? ?????? ?????? ?????????? ?????????.,28-Jan-16
New Route,,Bengaluru,BPL (towards TOWARDS BANNERGHATTA NATIONAL PARK),Yelenahalli (towards Last stop),,Need feeder mini bus service connecting bannerghatta road (BPL Arekere) to DLF Newtown to Singasandra (Hosur road).,,28-Jan-16
New Route,,Bengaluru,Nayandahalli (towards TOWARDS SHIRKE),Kengeri Satalite Town Society (towards TOWARDS SHIRKE),,Please add feeder buses from Nayandahalli metro station to Kengeri via Nagarbhavi and Nagadevanahalli.,,21-May-16
Increase Frequency,356CA,Bengaluru,,,,"Hi,
Currently the frequency of 356c which is from KBS TO ELECTRONIC CITY WIPRO GATE has been reduced. Please we all from wipro technologies request to increase the frequency of the buses from KBS to wipro because we don't have any bus facility from wipro. Kindly do the needful as soon as possible. It will very helpful if there is a bus over the flyover.
For sure there will be maximum people awaiting for this.
Thank you.",,29-Jan-16
New Route,,Bengaluru,Hebbala Bridge (towards TIN FACTORY KR PURAM),Varthuru Kodi (towards GUNJURU),,Need Vayu vajra from hebbla to varthur kodi via tc palya(old madras road) because there is no traffic on this route.And even Increase silkboard to hebbala volvo buses after 5pm evening coz many ppl travel at that time & there will be no space to put ur leg in the bus from marathahalli.,,29-Jan-16
Other,,Bengaluru,,,,there is no buses from Chennammana kere acchukattu in peak time between 8:30 to 9:20 please give service to this time.,,29-Jan-16
Increase Frequency,301E,Bengaluru,,,,please increase frequency. Divert few 300E buses via TC palya main rod,????????????????,30-Jan-16
Increase Frequency,365B,Bengaluru,,,,Please increase frequqncy of V365 (Volvo service) during evening rush hour from KBS to Bannerghatta Road.,,30-Jan-16
Increase Frequency,301E,Bengaluru,,,,"The frequency in this route to t.c palya main road is very less. People struggle in this route, with auto people creating monopoly here. It would be great relief to everybody if the frequency on t.c.palya main road is increased.",????????????????.,31-Jan-16
New Route,,Bengaluru,Borewell (towards YEMALURU),Central Silk Board (towards MARATHAHALLI),,"Frequent Mini bus service from Marathalli borewell  to silkboard n from silkboard to marathahalli via HSR layout, Agara, bellandur , bellandur lake will help many office goers.",?????????????? ??? ???? ????? ????????? ???? ?????????????????.,31-Jan-16
Increase Frequency,500,Bengaluru,,,,"Please increase the frequency of this bus.
because of lack of buses directly, people are supposed to get down at silkboard and catch another bus from silk board to tin factory.
In the absence of BMTC services, private vehicles are earning lot of money at the loss of BMTC income. Please increase teh frequency of buses from banashankari to tin facotry.",,31-Jan-16
New Route,,Bengaluru,Sarjapura Wipro (towards TOWARDS KORAMANGALA),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,there are many people who travel from Wipro Sarjapur route to electronic city via central jail road.They use their own transportation. Instead they can use BMTC transport  to avoid the traffic and pollution.,"?????? ??????????? 356-????/2 ????? ????????? ?????? ????????, ??? ?????? ?????????????.",31-Jan-16
Other,,Bengaluru,,,,K-6 buses are not available at mentioned hours on BMTC websites. They are almost not available after 6 pm and in morning 7 am to 8 am. ,,01-Feb-16
Other,,Bengaluru,,,,"In morning from 8 AM to 10 AM, there used to be lot of 356CW bus service from Silk board to Wipro gate. But from last month the service has become almost half. Due to this the rush has doubled and its become very difficult to board the buses. Can you plz increase the bug frequency again in the morning.",,01-Feb-16
Increase Frequency,G-4,Bengaluru,,,,There is not even a single bus from Brigade road to Bannerghatta during peak hours especially between 6:30PM to 7:30PM eventhough there are huge no. of commuters waiting for this bus. Increase frequency of G-4 from Brigade road - Bannerghatta to atleast one bus in 15mins between 6:30-7:30PM.,,28-Jan-16
New Route,,Bengaluru,Attibele (towards SARJAPURA),Eco Space (towards MARATHAHALLI),,new bus service to outer ring road via sarjapur would be a great idea.,?0????? ????????????? ??????? ??? ???? ????? ????????? ???? ?????????????????.,01-Feb-16
Other,,Bengaluru,,,,"Maintain Frequency of Existing Buses.

Even after affixing GPS, I can see large amount of skipping of Trips on the BASAVANAGAR Route. 330'C', 333'C', 335'B', 314 'T' / 'N' & MBS buses.
This clearly proves, Higher Officials are also Hand in Glove, & there is Virtual Mafia being run by the Corrupt and useless staff, as if they are the INVESTORS.",,01-Feb-16
New Route,,Bengaluru,Puttenahalli (towards J.P.NAGARA 15TH CROSS),CV Raman Nagara (towards C.V.RAMAN NAGARA LAST STOP),,Please provide new buses on this route which can start either from puttenahalli or jambu savari dinne,,13-Jun-16
New Route,,Bengaluru,Jalahalli Cross (towards TOWARDS YESHAWANTHAPURA),Mahalakshmi Layout Cross (towards Temple),,NO DIRECT BUS TOWARDS RAJAJINAGAR FIRST BLOCK,,13-Jun-16
New Route,,Bengaluru,Nelamangala (towards null),Leggere (towards null),,There is no buses for this rout and many working peoples and collage students travels daily at morning on this rout there are polytechnic collages are their and for leggere buses from jahalli cross is very less,????????????????,01-Feb-16
New Route,,Bengaluru,Agara Junction (towards TOWARDS KORAMANGALA),Domlur (towards INDIRA NAGARA),,"For Commuters residing in HSR Layout and even in Sarjapura Road this will be a very good link.  Because many Software Companies are there in Koramangala Inner Ring Road, EGL and Indiranagar ",,02-Feb-16
New Route,,Bengaluru,Indiranagar 6th main (towards KORAMANGALA),Agara Junction (towards TOWARDS SARJAPURA),,"Good link for commuters travelling between Domlur Koramanagala, HSR Layout and Sarjapura",??????? ????????????? ??? ???? ????? ????????? ???? ?????????????????.,02-Feb-16
New Route,,Bengaluru,Kaggadasapura (towards D.R.D.O. 3RD PHASE),HAL Main Gate (towards TOWARDS MARATHAHALLI),,"there are so many persons who would like to access Old airport rad for their daily commute, threes no single bus which caters to this route. Please provide a bus atleast once in morning and once in evening to meet people demands",?????? ?????? ?????? ???????? ???????? ????????????????.,02-Feb-16
New Route,,Bengaluru,Gangondanahalli (towards KACHOHALLI),Malleshwaram 18th Cross (towards null),,Dear sir we are suffering no bus from my area ,,02-Feb-16
Other,,Bengaluru,,,,Increase frequency of G-11. The route timings on the website for G-11 are outdated. Please update to help customers. And increase frequency on this important link between Hennur and MG Road,,02-Feb-16
Other,,Bengaluru,,,,"Request to add one more Bus Route Number NICE-5A 
to leave Electronic city at 5:45 pm or 6:00 pm",,03-Feb-16
Increase Frequency,MBS-8,Bengaluru,,,,Kindly provide more frequent buses,???????????:???????-8 ?????  7 ?????????? ????? 412 ?????? 7 ?????????? ??????? ?????????? ??????????????????????. ???? ????????? ?????? ?????? ??????????????????.,03-Feb-16
New Route,,Bengaluru,Murugeshpalya (towards TOWARDS DOMLURU),Kammana Halli (towards RAMASWAMY PALYA),,No direct bus lot of office employees commute in this route ,????????? ??? ???? ????? ????????? ???? ?????????????????.,03-Feb-16
Other,,Bengaluru,,,,"Request to kindly reserve a seat for pregnant women. It's very difficult for pregnant ladies to commute by BMTC, especially during peak office hours. People rarely oblige and offer a seat.
Please keep in mind that majority of the commuters come from middle class families and cannot afford autos/cabs on daily basis.",,03-Feb-16
New Route,,Bengaluru,Kurubarahalli (towards KAVERINAGARA),Jayanagara 9th East Circle (towards BANASHANKARI),,From kurubarahalli we do not have any buses to jayanagar or basavanagudi kindly provide buses in this route.,,03-Feb-16
Increase Frequency,2A,Bengaluru,,,,please increase frequency of 2 bus from night 8.00pm to 9.30pm as most of the time no bus was there bus route no: 2  from majestic to j.p nagar sixth phase bus stop ,,03-Jun-16
New Route,,Bengaluru,Baiyappanahalli Satellite Bus Station (towards Last Stop),Ramamurthinagar Police Station (towards KR PURAM),,Please run a metro feeder from ram murthy nagar signal to baipanahalli metro back side,,16-Jun-16
New Route,,Bengaluru,Peenya 2nd stage 14th Cross (towards PEENYA 2ND STAGE),"HAVANURU CIRCLE (towards RAJAJINAGARA, NAVARANG)",,"There are many people including school and college students,workers,senior citizens who daily travel to basaveshwara nagar but are unable to conveniently as they have to get down at navarang and then catch a new bus to basaveshwaranagar, this approximately takes '1hour 25 minutes' and about '10km'  of distance.
If the buses could ply in the above mentioned suggested route the journey time would be reduced to about '25 minutes' and a distance of '5km' or lesser. ",????????????????,28-Jan-16
New Route,,Bengaluru,HSR Layout 2nd Sector (towards HSR Club),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,"There is a huge crowd in HSR Layout, 2nd sector, who commute to Electronic City Phase-1 every day. As of now, there are no direct buses and we are forced to take rickshaws till Silk Board and then board 365CW.

Could you please arrange buses in the morning and evening (office hours) from HSR Layout Sector-2 (Near Cambridge School) to Electronic City (Via Elevated Highway preferably)

Thanks.",,06-Feb-16
New Route,,Bengaluru,MS Palya (towards GANGAMMA CIRCLE),MS Ramaiah Hospital New BEL Road (towards SADASHIVA NAGARA),,It would be good if there are new bus routes added to new bel road (Devasandra) via MS Palya. Which will help commuters to travel conveniently.,????????????????,06-Feb-16
